name,canonical,ra,dec,z,z_source,ebv,host_ebv,host_ebv_err,host_ebv_src,otype,host,instr,gratings,n_spec,n_merged,is_remnant,has_uv,classification,tns_name,tns_type,tns_z,tns_disc_date,tns_disc_mjd,flags
SN2024BCH,SN 2024bch,155.45725,56.9279,0.003839,simbad,0.0144,0.0,,none (MW-only),SN*,,STIS,G230LB;G430L;G750L,4,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024bch,SN II,0.003839,2024-01-29 06:02:50.000,60338.252,none
SN2017CBV,SN 2017cbv,218.14351,-44.13408,0.004,ned,,0.0,,none (MW-only),SN*,,STIS,G230L;G230LB,4,1,False,True,STAR;SUPERNOVA TYPE IA,SN 2017cbv,SN Ia,0.003999,2017-03-10 04:06:14.000,57822.171,none
GAIA16APD,SN 2016eay,180.71543,44.25761,0.1013,ned,0.0153,0.0,,none (MW-only),SN*,,COS;STIS,G140L;G230L,4,1,False,True,EXT-STAR;SUPERNOVA,SN 2016eay,SLSN-I,0.102,2016-05-16 19:09:07.000,57524.798,none
AT2021DOV,SN 2021dov,134.07795,-0.44214,0.012,simbad,0.0348,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2021dov,SN Ia,0.012,2021-02-22 06:36:00.000,59267.275,name_unresolved
ZTF21AAKILYD,SN 2021csp,216.59217,5.85924,0.084,ned,0.0311,0.0,,none (MW-only),SN*,,COS;STIS,G140L;G230L,4,1,False,True,EXT-STAR;SUPERNOVA,SN 2021csp,SN Icn,0.083,2021-02-11 12:12:05.760,59256.508,none
SN2012ET,SN 2012et,355.6617,27.0921,0.025,ned,0.0802,0.0,,none (MW-only),SN*,,STIS,G230LB;G430L,4,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2012et,SN Ia,,2012-09-12 00:00:00.000,56182.0,none
SN2024ADMM,LEDA 1048314,54.02835,-5.17503,0.016,ned,0.046,0.0,,none (MW-only),G,,STIS,G230LB;G430L;G750L,3,1,False,True,STAR;SUPERNOVA,SN 2024admm,SN II,0.016,2024-12-06 05:58:51.000,60650.249,name_unresolved
SN2011HT,PSN J10081059+5150570,152.04413,51.84922,0.004,ned,0.0089,0.0,,none (MW-only),s*b,,STIS,G140L;G230L;G230M,3,1,False,True,EXT-STAR;SUPERNOVA TYPE II,SN 2011ht,SN IIn,0.0036,2011-09-29 00:00:00.000,55833.0,none
2026OBC,2MFGC 823,16.95594,41.99538,0.037359178662193,simbad,0.0934,0.0,,none (MW-only),G,,STIS,G140L;G230L,3,1,False,True,EXT-STAR;SUPERNOVA,SN 2026obc,SN Icn,0.0195,2026-05-31 11:26:58.001,61191.477,name_unresolved
SN2017EGM,SN 2017egm,154.77342,46.45393,0.031,ned,0.0113,0.007,,Yan+2018 ApJ 858 91 (FUV HST continuum SED; low host),SN*,,COS;STIS,G140L;G230L;G430L,3,1,False,True,EXT-STAR;SUPERNOVA,SN 2017egm,SLSN-I,0.030721,2017-05-23 21:40:19.000,57896.903,none
AT2022EYW,SN 2022eyw,190.99988,62.33008,0.009,simbad,0.0134,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,3,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2022eyw,SN Iax[02cx-like],0.009,2022-03-22 11:04:36.192,59660.462,name_unresolved
AT2025SCW,3XMM J011127.5-380500,17.86324,-38.08144,0.01,tns,0.0154,0.0,,none (MW-only),X,,STIS,G230LB;G430L;G750L,3,1,False,True,STAR;SUPERNOVA,SN 2025scw,SN II,0.01,2025-07-24 07:13:35.040,60880.301,name_unresolved
ASASSN-15LH,ASASSN -15lh,330.56425,-61.65964,0.2326,ned,0.0354,0.0,,Dong+2016 Science 351 257 / Brown+2016 (blue SED; negligible host),ev,,COS;STIS,G140L;G230L;G430L,3,1,False,True,EXT-STAR;SUPERNOVA,SN 2015L,SN I,,2015-06-14 00:00:00.000,57187.0,none
SN2025BCO,LEDA 1142503,198.93043,-0.47185,0.036,ned,0.0219,0.0,,none (MW-only),G,,STIS,G230LB;G430L;G750L,3,1,False,True,STAR;SUPERNOVA TYPE II,SN 2025bco,SN II,0.036,2025-02-09 05:57:33.984,60715.248,name_unresolved
SN2018BSZ,SN 2018bsz,242.41296,-32.06267,0.027,simbad,0.2408,0.04,,"Anderson+2018 A&A 620 A67 / Chen+2021 (Na I D, Poznanski+2012; host A_V 0.13)",SN*,,COS;STIS,G140L;G230L,3,1,False,True,EXT-STAR;SUPERNOVA,SN 2018bsz,SN II,0.027,2018-05-17 00:00:00.000,58255.0,none
AT2020UXZ,SN 2020uxz,21.02869,12.92148,0.008246,simbad,0.0385,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,3,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2020uxz,SN Ia,0.008246,2020-10-05 13:45:30.000,59127.573,name_unresolved
