wavelength_A,flux
2.110600000000029922e+03,4.196135029019906316e-13
2.112000000000030013e+03,4.189115317520438580e-13
2.113400000000030104e+03,4.182095606020970339e-13
2.114800000000030195e+03,4.175075894521502603e-13
2.116200000000030286e+03,4.168056183022034362e-13
2.117600000000030377e+03,4.161036471522566626e-13
2.119000000000030468e+03,4.154016760023098889e-13
2.120400000000030559e+03,4.090301958990811531e-13
2.121800000000030650e+03,4.021277284539927368e-13
2.123200000000030741e+03,4.098098975920925753e-13
2.124600000000030832e+03,4.060735856476706409e-13
2.126000000000030923e+03,4.056542682489015010e-13
2.127400000000031014e+03,4.078459243012612851e-13
2.128800000000031105e+03,4.107957064049618387e-13
2.130200000000031196e+03,4.085749184968290212e-13
2.131600000000031287e+03,4.088815446613442235e-13
2.133000000000031378e+03,4.256493636590320996e-13
2.134400000000031469e+03,4.200223368069078668e-13
2.135800000000031559e+03,3.988128129467352900e-13
2.137200000000031650e+03,3.958554134196251332e-13
2.138600000000031741e+03,4.011384505174457090e-13
2.140000000000031832e+03,4.017406503201691159e-13
2.141400000000031923e+03,3.951217728288427949e-13
2.142800000000032014e+03,3.943707396010942275e-13
2.144200000000032105e+03,3.972601465837656800e-13
2.145600000000032196e+03,4.001495535664371325e-13
2.147000000000032287e+03,4.030389605491085345e-13
2.148400000000032378e+03,4.059283675317799870e-13
2.149800000000032469e+03,4.005579965298052888e-13
2.151200000000032560e+03,3.918009112466285903e-13
2.152600000000032651e+03,3.948803879955031500e-13
2.154000000000032742e+03,3.939520633799748009e-13
2.155400000000032833e+03,3.870717752421332948e-13
2.156800000000032924e+03,3.819747070735260309e-13
2.158200000000033015e+03,3.847417958100483416e-13
2.159600000000033106e+03,3.841587006422669793e-13
2.161000000000033197e+03,3.784181844293320228e-13
2.162400000000033288e+03,3.814841378856757087e-13
2.163800000000033378e+03,3.859117488126178432e-13
2.165200000000033469e+03,3.826843709508406299e-13
2.166600000000033560e+03,3.787140319193432158e-13
2.168000000000033651e+03,3.788548759979229627e-13
2.169400000000033742e+03,3.813191712106394820e-13
2.170800000000033833e+03,3.770352901377484974e-13
2.172200000000033924e+03,3.727393430260389060e-13
2.173600000000034015e+03,3.725643241995420594e-13
2.175000000000034106e+03,3.725459375268048022e-13
2.176400000000034197e+03,3.746514736488652618e-13
2.177800000000034288e+03,3.720961472897954807e-13
2.179200000000034379e+03,3.712059086276192459e-13
2.180600000000034470e+03,3.737680727782300647e-13
2.182000000000034561e+03,3.731100049265381982e-13
2.183400000000034652e+03,3.718767472693589799e-13
2.184800000000034743e+03,3.684800668024300567e-13
2.186200000000034834e+03,3.680122739075112677e-13
2.187600000000034925e+03,3.653815256715037733e-13
