name,n_spec,ra,dec,instr,gratings,is_remnant,has_uv,classification
SN2012ET,4,355.6617,27.0921,STIS,G230LB;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
GAIA16APD,4,180.71543,44.25761,COS;STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA
ZTF24ABYMEET,4,336.50658,37.60207,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
AT2021JAD,4,83.34242,-21.95182,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
LZSNIAN1,4,216.57077,26.24887,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
2022MOX,4,203.68687,33.88975,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
STAR-1503-4159,4,225.72158,-41.98825,STIS,E140M,True,False,STAR;SDO;SUPERNOVA;SUPERNOVA TYPE IA;;ISM;SNR;ABSORPTION LINE SYSTEM - GALACTIC
AT2021ZFW,4,322.907,11.83295,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
AT2021DOV,4,134.07795,-0.44214,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
2024RYV,4,6.37496,20.24303,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
SN2024ISS,4,194.77558,28.81185,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
SN2024PSO,4,3.09013,17.79419,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
SN2023GFT,4,321.5055,-3.79824,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
2024TVI,4,348.79492,-27.91512,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
AT2023IUC,4,219.73188,2.28726,COS;STIS,G140L;G230L,False,True,STAR;SUPERNOVA
SN2017CBV,4,218.14351,-44.13408,STIS,G230L;G230LB,False,True,STAR;SUPERNOVA TYPE IA
SN2024FAQ,4,236.124,40.35655,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
